CustomerID,ValidStatus,MembershipLevel,EffectiveDate
5,1,Bronze,4/18/2021
25,1,Bronze,8/12/2020
26,1,Bronze,12/6/2018
29,1,Bronze,6/28/2021
36,1,Bronze,2/25/2017
40,1,Bronze,1/6/2021
41,1,Bronze,7/28/2019
48,1,Bronze,4/29/2020
55,1,Bronze,9/14/2020
59,1,Bronze,10/22/2019
61,1,Bronze,6/10/2016
64,1,Bronze,1/30/2017
67,1,Bronze,9/18/2018
71,1,Bronze,8/26/2022
76,1,Bronze,9/8/2019
77,1,Bronze,11/4/2016
79,1,Bronze,10/21/2021
81,1,Bronze,8/29/2018
82,1,Bronze,3/3/2019
87,1,Bronze,4/15/2022
88,1,Bronze,2/23/2021
90,1,Bronze,9/13/2022
91,1,Bronze,2/20/2019
92,1,Bronze,1/14/2020
97,1,Bronze,4/19/2022
99,1,Bronze,6/26/2017
100,1,Bronze,7/17/2017
101,1,Bronze,10/26/2016
102,1,Bronze,11/18/2021
105,1,Bronze,11/9/2017
106,1,Bronze,2/11/2020
107,1,Bronze,12/30/2020
108,1,Bronze,8/19/2019
109,1,Bronze,6/23/2016
111,1,Bronze,3/6/2021
113,1,Bronze,10/4/2017
114,1,Bronze,10/4/2017
116,1,Bronze,12/21/2019
117,1,Bronze,7/5/2022
118,1,Bronze,10/18/2019
119,1,Bronze,9/30/2019
120,1,Bronze,8/15/2019
121,1,Bronze,7/15/2018
122,1,Bronze,3/9/2017
123,1,Bronze,1/13/2017
124,1,Bronze,10/20/2019
125,1,Bronze,4/14/2021
127,1,Bronze,6/10/2018
128,1,Bronze,10/10/2018
129,1,Bronze,8/19/2019
131,1,Bronze,10/15/2021
132,1,Bronze,4/18/2020
133,1,Bronze,9/10/2017
134,1,Bronze,7/26/2019
136,1,Bronze,7/10/2019
137,1,Bronze,5/9/2022
139,1,Bronze,10/10/2016
140,1,Bronze,4/25/2016
141,1,Bronze,7/14/2019
142,1,Bronze,12/7/2019
143,1,Bronze,5/17/2022
144,1,Bronze,4/5/2020
145,1,Bronze,5/13/2020
147,1,Bronze,10/10/2022
148,1,Bronze,1/30/2022
150,1,Bronze,3/19/2022
151,1,Bronze,10/21/2019
152,1,Bronze,11/6/2018
153,1,Bronze,8/14/2016
155,1,Bronze,1/30/2016
156,1,Bronze,2/5/2018
157,1,Bronze,12/23/2016
158,1,Bronze,10/2/2019
159,1,Bronze,12/30/2019
160,1,Bronze,12/16/2019
161,1,Bronze,9/29/2022
166,1,Bronze,4/27/2020
167,1,Bronze,6/6/2017
168,1,Bronze,12/2/2017
169,1,Bronze,6/2/2020
171,1,Bronze,6/16/2020
172,1,Bronze,4/28/2017
174,1,Bronze,10/31/2018
176,1,Bronze,7/9/2021
178,1,Bronze,9/22/2022
179,1,Bronze,5/28/2022
180,1,Bronze,6/8/2021
184,1,Bronze,7/24/2018
185,1,Bronze,8/22/2022
186,1,Bronze,11/10/2016
187,1,Bronze,4/7/2021
188,1,Bronze,9/22/2020
189,1,Bronze,3/22/2016
190,1,Bronze,7/19/2022
191,1,Bronze,5/3/2019
192,1,Bronze,1/14/2017
193,1,Bronze,8/16/2022
194,1,Bronze,5/7/2016
196,1,Bronze,7/11/2021
197,1,Bronze,4/25/2018
198,1,Bronze,9/17/2020
200,1,Bronze,2/13/2019
204,1,Bronze,5/17/2022
205,1,Bronze,5/28/2019
207,1,Bronze,11/4/2019
208,1,Bronze,1/14/2020
210,1,Bronze,1/22/2020
212,1,Bronze,4/22/2021
213,1,Bronze,2/9/2022
214,1,Bronze,10/20/2018
215,1,Bronze,11/13/2020
216,1,Bronze,5/9/2021
218,1,Bronze,11/25/2017
219,1,Bronze,2/6/2022
221,1,Bronze,9/25/2017
222,1,Bronze,8/9/2018
223,1,Bronze,7/8/2022
224,1,Bronze,4/28/2021
228,1,Bronze,12/11/2018
229,1,Bronze,8/16/2018
230,1,Bronze,12/22/2019
231,1,Bronze,5/11/2018
232,1,Bronze,9/13/2018
233,1,Bronze,6/7/2019
234,1,Bronze,8/5/2017
235,1,Bronze,2/7/2017
237,1,Bronze,4/23/2019
238,1,Bronze,5/9/2021
239,1,Bronze,5/22/2019
241,1,Bronze,6/4/2020
242,1,Bronze,1/21/2017
243,1,Bronze,1/14/2021
245,1,Bronze,8/17/2022
246,1,Bronze,7/14/2016
247,1,Bronze,5/30/2022
248,1,Bronze,4/28/2018
250,1,Bronze,3/3/2022
251,1,Bronze,10/20/2016
252,1,Bronze,5/17/2018
253,1,Bronze,12/15/2019
254,1,Bronze,8/19/2018
255,1,Bronze,7/18/2021
256,1,Bronze,4/11/2018
257,1,Bronze,4/29/2021
258,1,Bronze,8/23/2022
259,1,Bronze,10/18/2022
260,1,Bronze,11/20/2017
262,1,Bronze,2/6/2022
263,1,Bronze,6/21/2022
264,1,Bronze,2/6/2018
265,1,Bronze,12/24/2017
266,1,Bronze,5/11/2021
267,1,Bronze,7/17/2019
268,1,Bronze,1/26/2017
270,1,Bronze,5/15/2017
271,1,Bronze,8/8/2018
272,1,Bronze,1/25/2019
273,1,Bronze,3/9/2017
274,1,Bronze,5/7/2017
275,1,Bronze,11/20/2016
276,1,Bronze,6/10/2020
278,1,Bronze,8/11/2022
279,1,Bronze,5/28/2019
281,1,Bronze,10/20/2022
284,1,Bronze,4/17/2018
286,1,Bronze,6/16/2018
287,1,Bronze,6/13/2020
290,1,Bronze,3/15/2018
293,1,Bronze,11/24/2020
295,1,Bronze,11/24/2016
297,1,Bronze,7/4/2020
298,1,Bronze,3/14/2018
299,1,Bronze,11/13/2022
300,1,Bronze,11/12/2016
302,1,Bronze,11/1/2018
303,1,Bronze,8/23/2016
304,1,Bronze,5/7/2016
306,1,Bronze,3/20/2020
308,1,Bronze,8/6/2019
310,1,Bronze,1/2/2022
311,1,Bronze,6/22/2022
313,1,Bronze,9/27/2019
315,1,Bronze,4/18/2018
317,1,Bronze,8/27/2017
318,1,Bronze,8/9/2020
319,1,Bronze,11/27/2019
320,1,Bronze,12/26/2017
321,1,Bronze,8/15/2017
322,1,Bronze,6/29/2019
324,1,Bronze,10/10/2020
325,1,Bronze,11/23/2019
326,1,Bronze,7/12/2016
329,1,Bronze,6/9/2019
330,1,Bronze,9/9/2019
331,1,Bronze,5/9/2017
332,1,Bronze,12/22/2016
334,1,Bronze,6/11/2020
336,1,Bronze,7/26/2021
337,1,Bronze,9/15/2019
339,1,Bronze,8/11/2022
340,1,Bronze,4/23/2016
341,1,Bronze,4/18/2017
342,1,Bronze,7/8/2021
343,1,Bronze,5/4/2017
344,1,Bronze,5/19/2018
346,1,Bronze,1/5/2020
347,1,Bronze,7/30/2022
348,1,Bronze,9/9/2018
349,1,Bronze,6/28/2020
350,1,Bronze,12/16/2016
351,1,Bronze,11/12/2022
353,1,Bronze,5/11/2016
354,1,Bronze,2/11/2018
355,1,Bronze,9/16/2019
356,1,Bronze,7/31/2022
357,1,Bronze,11/18/2018
358,1,Bronze,4/12/2016
359,1,Bronze,11/7/2017
360,1,Bronze,10/14/2018
361,1,Bronze,8/5/2019
362,1,Bronze,10/29/2021
366,1,Bronze,3/6/2017
367,1,Bronze,7/2/2020
368,1,Bronze,3/8/2018
369,1,Bronze,4/2/2016
370,1,Bronze,10/9/2017
372,1,Bronze,3/7/2017
374,1,Bronze,6/10/2019
375,1,Bronze,3/2/2019
377,1,Bronze,1/20/2021
378,1,Bronze,9/26/2017
379,1,Bronze,11/4/2017
380,1,Bronze,6/8/2020
381,1,Bronze,1/6/2018
382,1,Bronze,8/14/2021
383,1,Bronze,4/3/2021
384,1,Bronze,12/16/2017
386,1,Bronze,11/11/2016
387,1,Bronze,12/26/2019
389,1,Bronze,10/23/2020
390,1,Bronze,8/19/2020
391,1,Bronze,11/28/2016
392,1,Bronze,1/27/2020
393,1,Bronze,11/22/2018
394,1,Bronze,11/24/2021
395,1,Bronze,5/24/2021
397,1,Bronze,12/23/2020
398,1,Bronze,10/22/2019
399,1,Bronze,7/20/2016
400,1,Bronze,12/19/2017
401,1,Bronze,10/26/2018
403,1,Bronze,12/4/2021
404,1,Bronze,9/16/2017
405,1,Bronze,11/29/2020
407,1,Bronze,4/15/2020
409,1,Bronze,5/10/2020
410,1,Bronze,8/16/2019
411,1,Bronze,9/11/2022
415,1,Bronze,12/20/2020
417,1,Bronze,11/11/2020
418,1,Bronze,2/21/2016
421,1,Bronze,7/24/2022
422,1,Bronze,6/17/2018
423,1,Bronze,12/7/2017
424,1,Bronze,2/24/2019
425,1,Bronze,10/31/2018
426,1,Bronze,6/18/2019
427,1,Bronze,9/12/2020
428,1,Bronze,9/16/2019
429,1,Bronze,4/28/2016
431,1,Bronze,8/6/2016
432,1,Bronze,9/22/2018
433,1,Bronze,9/14/2018
434,1,Bronze,12/11/2018
435,1,Bronze,7/26/2019
436,1,Bronze,1/9/2022
438,1,Bronze,4/17/2021
439,1,Bronze,3/18/2021
441,1,Bronze,4/13/2021
442,1,Bronze,7/8/2018
444,1,Bronze,9/19/2017
445,1,Bronze,4/19/2022
446,1,Bronze,6/24/2016
447,1,Bronze,7/21/2017
448,1,Bronze,9/2/2022
449,1,Bronze,8/7/2016
451,1,Bronze,5/21/2018
453,1,Bronze,9/13/2020
454,1,Bronze,2/22/2016
455,1,Bronze,5/6/2018
456,1,Bronze,9/24/2017
457,1,Bronze,3/2/2019
458,1,Bronze,3/29/2020
459,1,Bronze,6/3/2020
460,1,Bronze,11/16/2021
461,1,Bronze,11/3/2020
463,1,Bronze,10/7/2017
464,1,Bronze,2/24/2020
466,1,Bronze,5/27/2018
467,1,Bronze,8/13/2019
468,1,Bronze,10/27/2018
469,1,Bronze,1/4/2020
470,1,Bronze,7/28/2017
472,1,Bronze,1/17/2019
473,1,Bronze,3/16/2019
474,1,Bronze,6/27/2019
477,1,Bronze,1/5/2019
478,1,Bronze,9/4/2021
480,1,Bronze,1/29/2018
482,1,Bronze,3/3/2016
483,1,Bronze,6/11/2016
484,1,Bronze,12/28/2022
485,1,Bronze,11/12/2020
486,1,Bronze,4/16/2021
487,1,Bronze,4/19/2018
488,1,Bronze,11/21/2017
489,1,Bronze,10/12/2016
491,1,Bronze,2/13/2017
492,1,Bronze,6/30/2022
494,1,Bronze,5/10/2017
495,1,Bronze,10/5/2022
496,1,Bronze,1/5/2020
498,1,Bronze,6/29/2019
501,1,Bronze,8/19/2016
503,1,Bronze,4/16/2022
504,1,Bronze,10/11/2021
507,1,Bronze,2/20/2020
508,1,Bronze,12/20/2022
509,1,Bronze,2/25/2016
510,1,Bronze,12/15/2018
511,1,Bronze,11/16/2021
512,1,Bronze,9/13/2019
513,1,Bronze,1/22/2018
514,1,Bronze,7/23/2020
515,1,Bronze,1/17/2019
516,1,Bronze,5/10/2022
517,1,Bronze,6/25/2016
518,1,Bronze,12/1/2017
519,1,Bronze,1/13/2018
520,1,Bronze,9/3/2016
521,1,Bronze,1/8/2020
522,1,Bronze,12/17/2020
523,1,Bronze,5/6/2016
524,1,Bronze,4/23/2020
525,1,Bronze,9/3/2017
526,1,Bronze,6/22/2017
527,1,Bronze,6/11/2016
528,1,Bronze,5/6/2021
529,1,Bronze,1/13/2018
530,1,Bronze,4/1/2017
531,1,Bronze,7/3/2020
532,1,Bronze,6/27/2022
534,1,Bronze,4/7/2021
536,1,Bronze,8/31/2020
537,1,Bronze,5/21/2019
538,1,Bronze,3/1/2021
539,1,Bronze,9/14/2016
540,1,Bronze,10/22/2020
541,1,Bronze,2/15/2019
542,1,Bronze,2/1/2017
543,1,Bronze,12/27/2016
544,1,Bronze,2/8/2017
545,1,Bronze,1/23/2022
546,1,Bronze,12/22/2017
548,1,Bronze,2/12/2022
549,1,Bronze,5/22/2021
550,1,Bronze,2/26/2021
551,1,Bronze,7/7/2018
552,1,Bronze,9/8/2020
553,1,Bronze,10/29/2016
554,1,Bronze,8/19/2018
555,1,Bronze,2/27/2017
556,1,Bronze,4/7/2020
557,1,Bronze,8/3/2020
558,1,Bronze,5/23/2020
559,1,Bronze,7/1/2022
560,1,Bronze,5/13/2019
561,1,Bronze,5/18/2016
564,1,Bronze,11/24/2019
565,1,Bronze,12/10/2017
566,1,Bronze,4/4/2018
567,1,Bronze,2/28/2017
568,1,Bronze,1/21/2020
569,1,Bronze,7/25/2017
570,1,Bronze,4/23/2022
571,1,Bronze,1/27/2016
572,1,Bronze,4/24/2022
575,1,Bronze,9/11/2016
576,1,Bronze,1/24/2022
578,1,Bronze,5/7/2020
579,1,Bronze,4/1/2019
582,1,Bronze,2/3/2016
583,1,Bronze,7/29/2017
584,1,Bronze,8/9/2018
585,1,Bronze,10/7/2019
586,1,Bronze,6/8/2016
587,1,Bronze,2/5/2020
588,1,Bronze,7/25/2022
589,1,Bronze,3/28/2019
590,1,Bronze,12/7/2022
591,1,Bronze,3/10/2016
592,1,Bronze,5/23/2017
593,1,Bronze,11/23/2019
594,1,Bronze,10/13/2021
595,1,Bronze,4/1/2019
596,1,Bronze,1/20/2018
597,1,Bronze,7/21/2018
598,1,Bronze,5/27/2017
599,1,Bronze,2/24/2022
600,1,Bronze,1/6/2020
601,1,Bronze,6/25/2017
602,1,Bronze,10/6/2016
603,1,Bronze,6/20/2019
604,1,Bronze,12/23/2016
605,1,Bronze,5/26/2019
606,1,Bronze,4/28/2018
607,1,Bronze,10/28/2022
608,1,Bronze,3/5/2016
612,1,Bronze,1/20/2022
613,1,Bronze,4/28/2020
614,1,Bronze,8/21/2018
616,1,Bronze,10/22/2017
617,1,Bronze,5/22/2020
618,1,Bronze,3/4/2019
619,1,Bronze,5/14/2018
620,1,Bronze,8/24/2020
621,1,Bronze,11/29/2022
622,1,Bronze,10/4/2020
623,1,Bronze,12/7/2018
626,1,Bronze,1/4/2020
627,1,Bronze,4/30/2016
628,1,Bronze,2/11/2020
629,1,Bronze,5/27/2016
630,1,Bronze,1/27/2021
631,1,Bronze,4/6/2021
633,1,Bronze,12/15/2019
635,1,Bronze,5/31/2022
636,1,Bronze,6/26/2021
640,1,Bronze,2/16/2016
642,1,Bronze,11/28/2022
643,1,Bronze,1/27/2019
645,1,Bronze,1/24/2022
647,1,Bronze,9/30/2018
649,1,Bronze,5/16/2016
650,1,Bronze,2/7/2019
651,1,Bronze,4/28/2022
652,1,Bronze,4/14/2017
653,1,Bronze,1/1/2021
654,1,Bronze,7/15/2020
656,1,Bronze,2/3/2020
657,1,Bronze,1/21/2019
659,1,Bronze,8/23/2016
660,1,Bronze,11/6/2021
661,1,Bronze,8/21/2019
662,1,Bronze,12/8/2019
663,1,Bronze,11/16/2022
665,1,Bronze,5/31/2019
666,1,Bronze,10/28/2021
667,1,Bronze,12/2/2018
668,1,Bronze,1/21/2019
669,1,Bronze,2/3/2017
670,1,Bronze,1/28/2021
671,1,Bronze,5/20/2017
672,1,Bronze,7/23/2017
673,1,Bronze,2/21/2017
674,1,Bronze,7/5/2021
675,1,Bronze,8/15/2019
676,1,Bronze,11/28/2016
677,1,Bronze,6/17/2016
678,1,Bronze,7/30/2019
679,1,Bronze,4/4/2017
680,1,Bronze,3/10/2022
681,1,Bronze,6/14/2017
682,1,Bronze,6/18/2017
683,1,Bronze,10/16/2019
684,1,Bronze,2/3/2019
685,1,Bronze,8/25/2021
686,1,Bronze,9/6/2016
687,1,Bronze,4/11/2017
688,1,Bronze,4/21/2019
689,1,Bronze,6/27/2020
690,1,Bronze,6/9/2020
691,1,Bronze,1/21/2017
692,1,Bronze,10/6/2021
694,1,Bronze,4/11/2016
695,1,Bronze,12/17/2017
696,1,Bronze,6/15/2021
697,1,Bronze,3/2/2016
698,1,Bronze,10/13/2019
699,1,Bronze,10/18/2016
701,1,Bronze,4/12/2020
702,1,Bronze,10/28/2017
704,1,Bronze,2/1/2017
706,1,Bronze,6/5/2021
707,1,Bronze,12/12/2019
708,1,Bronze,3/5/2020
711,1,Bronze,10/20/2022
712,1,Bronze,11/28/2019
713,1,Bronze,8/6/2021
715,1,Bronze,3/17/2022
716,1,Bronze,1/11/2021
719,1,Bronze,6/21/2021
721,1,Bronze,12/26/2022
722,1,Bronze,5/14/2020
723,1,Bronze,11/21/2018
724,1,Bronze,1/3/2022
726,1,Bronze,6/7/2019
727,1,Bronze,2/20/2016
728,1,Bronze,11/13/2022
729,1,Bronze,10/12/2016
732,1,Bronze,1/17/2021
734,1,Bronze,9/12/2021
735,1,Bronze,4/8/2017
736,1,Bronze,4/24/2017
737,1,Bronze,6/1/2018
740,1,Bronze,6/7/2020
741,1,Bronze,4/30/2018
742,1,Bronze,3/3/2022
743,1,Bronze,8/5/2017
744,1,Bronze,9/30/2020
745,1,Bronze,5/30/2020
746,1,Bronze,4/24/2018
747,1,Bronze,6/18/2017
748,1,Bronze,9/2/2019
749,1,Bronze,4/16/2022
751,1,Bronze,2/7/2017
752,1,Bronze,7/18/2022
753,1,Bronze,5/5/2022
754,1,Bronze,10/16/2021
755,1,Bronze,9/14/2020
757,1,Bronze,2/1/2020
758,1,Bronze,6/6/2017
759,1,Bronze,7/29/2018
760,1,Bronze,3/25/2022
761,1,Bronze,3/7/2017
762,1,Bronze,6/24/2022
764,1,Bronze,3/12/2018
765,1,Bronze,4/26/2017
766,1,Bronze,9/8/2020
767,1,Bronze,12/13/2020
768,1,Bronze,4/7/2021
769,1,Bronze,5/20/2017
770,1,Bronze,5/16/2018
772,1,Bronze,5/9/2017
773,1,Bronze,5/28/2017
775,1,Bronze,12/5/2022
776,1,Bronze,12/6/2018
777,1,Bronze,9/30/2021
778,1,Bronze,6/30/2018
779,1,Bronze,7/20/2017
781,1,Bronze,3/2/2020
782,1,Bronze,4/4/2016
784,1,Bronze,12/30/2019
785,1,Bronze,7/31/2016
786,1,Bronze,7/12/2022
787,1,Bronze,4/30/2019
788,1,Bronze,5/26/2021
789,1,Bronze,12/7/2020
790,1,Bronze,1/4/2021
792,1,Bronze,1/23/2021
793,1,Bronze,12/8/2022
795,1,Bronze,9/22/2022
797,1,Bronze,9/11/2018
798,1,Bronze,5/22/2020
799,1,Bronze,8/20/2017
800,1,Bronze,3/25/2016
801,1,Bronze,4/26/2018
803,1,Bronze,1/21/2020
804,1,Bronze,12/14/2021
805,1,Bronze,12/30/2016
806,1,Bronze,6/22/2021
807,1,Bronze,9/1/2020
808,1,Bronze,12/2/2017
810,1,Bronze,11/17/2022
811,1,Bronze,3/12/2022
812,1,Bronze,10/26/2019
813,1,Bronze,1/30/2016
814,1,Bronze,3/21/2022
815,1,Bronze,7/20/2022
816,1,Bronze,3/5/2022
817,1,Bronze,11/23/2016
818,1,Bronze,3/20/2018
820,1,Bronze,3/18/2020
821,1,Bronze,8/23/2021
822,1,Bronze,12/28/2019
823,1,Bronze,1/26/2020
824,1,Bronze,12/20/2020
825,1,Bronze,9/10/2018
826,1,Bronze,7/27/2016
827,1,Bronze,1/4/2016
830,1,Bronze,12/6/2019
831,1,Bronze,3/6/2022
832,1,Bronze,7/16/2021
833,1,Bronze,1/23/2022
834,1,Bronze,7/31/2020
835,1,Bronze,5/23/2019
836,1,Bronze,6/29/2018
837,1,Bronze,12/10/2018
838,1,Bronze,6/17/2020
839,1,Bronze,8/24/2022
840,1,Bronze,12/17/2020
841,1,Bronze,8/17/2021
842,1,Bronze,4/27/2020
843,1,Bronze,9/22/2021
844,1,Bronze,5/11/2017
845,1,Bronze,7/29/2019
847,1,Bronze,7/10/2017
848,1,Bronze,10/12/2016
849,1,Bronze,10/28/2018
850,1,Bronze,8/23/2022
851,1,Bronze,2/12/2022
852,1,Bronze,10/22/2022
853,1,Bronze,6/13/2020
854,1,Bronze,5/3/2016
855,1,Bronze,2/9/2020
856,1,Bronze,11/4/2016
860,1,Bronze,12/9/2019
861,1,Bronze,6/21/2021
862,1,Bronze,1/20/2019
865,1,Bronze,5/29/2018
866,1,Bronze,5/23/2021
867,1,Bronze,10/29/2016
868,1,Bronze,6/24/2018
869,1,Bronze,4/11/2018
870,1,Silver,7/22/2018
871,1,Silver,9/14/2016
872,1,Silver,1/11/2022
873,1,Silver,9/24/2016
874,1,Silver,8/30/2019
875,1,Silver,4/30/2022
876,1,Silver,8/24/2018
877,1,Silver,4/5/2022
878,1,Silver,7/16/2021
879,1,Silver,11/27/2019
880,1,Silver,7/2/2018
881,1,Silver,11/9/2022
882,1,Silver,6/27/2022
883,1,Silver,12/15/2018
885,1,Silver,2/15/2018
886,1,Silver,1/30/2020
887,1,Silver,2/20/2021
889,1,Silver,6/10/2019
890,1,Silver,11/11/2022
891,1,Silver,12/2/2019
892,1,Silver,2/22/2019
893,1,Silver,7/19/2019
894,1,Silver,3/19/2021
895,1,Silver,8/31/2021
897,1,Silver,4/14/2021
898,1,Silver,9/20/2016
899,1,Silver,6/30/2019
900,1,Silver,4/30/2018
901,1,Silver,11/13/2018
902,1,Silver,9/4/2020
903,1,Silver,12/3/2018
904,1,Silver,10/30/2019
905,1,Silver,4/25/2018
906,1,Silver,3/16/2016
907,1,Silver,12/4/2018
908,1,Silver,10/21/2021
909,1,Silver,3/5/2019
910,1,Silver,9/2/2019
912,1,Silver,4/12/2020
914,1,Silver,4/16/2020
915,1,Silver,2/10/2016
916,1,Silver,7/8/2018
917,1,Silver,3/27/2021
918,1,Silver,4/15/2022
919,1,Silver,1/19/2022
920,1,Silver,8/9/2020
921,1,Silver,10/7/2018
922,1,Silver,10/13/2022
923,1,Silver,3/19/2020
924,1,Silver,6/23/2021
925,1,Silver,7/2/2021
926,1,Silver,2/9/2020
927,1,Silver,5/3/2019
928,1,Silver,10/14/2020
929,1,Silver,12/17/2018
930,1,Silver,5/15/2022
932,1,Silver,9/11/2017
933,1,Silver,4/14/2017
934,1,Silver,6/28/2020
935,1,Silver,1/25/2017
936,1,Silver,1/29/2019
937,1,Silver,11/16/2020
938,1,Silver,10/7/2021
939,1,Silver,4/14/2017
940,1,Silver,7/5/2018
941,1,Silver,10/31/2022
942,1,Silver,10/26/2022
945,1,Silver,3/3/2017
947,1,Silver,5/16/2019
950,1,Silver,5/16/2019
951,1,Silver,11/21/2018
952,1,Silver,3/20/2020
953,1,Silver,5/22/2021
955,1,Silver,5/18/2020
956,1,Silver,10/22/2017
957,1,Silver,12/14/2017
958,1,Silver,9/20/2018
959,1,Silver,2/28/2019
963,1,Silver,5/13/2017
964,1,Silver,8/3/2021
965,1,Silver,1/17/2017
966,1,Silver,8/17/2021
968,1,Silver,10/25/2019
969,1,Silver,2/15/2016
971,1,Silver,12/10/2016
972,1,Silver,2/22/2020
973,1,Silver,2/4/2016
974,1,Silver,2/4/2022
975,1,Silver,4/10/2021
976,1,Silver,9/16/2021
977,1,Silver,1/17/2021
978,1,Silver,12/16/2020
980,1,Silver,1/17/2021
981,1,Silver,5/28/2016
983,1,Silver,10/14/2018
984,1,Silver,3/28/2016
986,1,Silver,6/18/2018
987,1,Silver,12/17/2017
988,1,Silver,10/1/2022
989,1,Silver,8/11/2017
990,1,Silver,9/13/2022
991,1,Silver,5/2/2020
992,1,Silver,9/25/2016
994,1,Silver,7/21/2020
995,1,Silver,7/1/2017
996,1,Silver,6/5/2019
997,1,Silver,8/2/2018
998,1,Silver,8/23/2019
1000,1,Silver,7/29/2022
1001,1,Silver,10/28/2017
1002,1,Silver,4/25/2020
1003,1,Silver,3/10/2016
1004,1,Silver,3/11/2017
1005,1,Silver,1/28/2019
1006,1,Silver,10/12/2017
1007,1,Silver,9/5/2018
1008,1,Silver,3/6/2020
1009,1,Silver,8/31/2017
1010,1,Silver,3/6/2019
1012,1,Silver,4/16/2017
1013,1,Silver,9/23/2017
1014,1,Silver,7/1/2016
1016,1,Silver,10/27/2022
1019,1,Silver,3/25/2019
1021,1,Silver,6/30/2022
1022,1,Silver,2/24/2019
1023,1,Silver,1/1/2021
1024,1,Silver,11/14/2021
1025,1,Silver,1/15/2016
1026,1,Silver,1/20/2016
1027,1,Silver,4/13/2020
1028,1,Silver,6/7/2019
1029,1,Silver,8/3/2022
1031,1,Silver,5/27/2018
1034,1,Silver,5/4/2019
1035,1,Silver,4/29/2020
1038,1,Silver,10/20/2021
1039,1,Silver,1/23/2020
1041,1,Silver,10/23/2021
1042,1,Silver,1/25/2022
1044,1,Silver,9/10/2016
1045,1,Silver,8/13/2016
1046,1,Silver,7/31/2021
1047,1,Silver,5/1/2022
1048,1,Silver,9/14/2019
1051,1,Silver,11/7/2021
1052,1,Silver,1/5/2019
1053,1,Silver,10/16/2019
1054,1,Silver,4/25/2020
1055,1,Silver,2/9/2016
1056,1,Silver,12/11/2021
1058,1,Silver,5/31/2020
1059,1,Silver,7/31/2018
1066,1,Silver,5/18/2021
1067,1,Silver,10/9/2016
1068,1,Silver,1/20/2022
1069,1,Silver,10/1/2017
1070,1,Silver,2/8/2018
1071,1,Silver,7/21/2022
1073,1,Silver,10/2/2018
1080,1,Silver,9/23/2021
1081,1,Silver,3/13/2016
1085,1,Silver,11/24/2019
1086,1,Silver,7/25/2019
1101,1,Silver,9/11/2018
2,1,Gold,12/18/2021
31,1,Gold,3/3/2018
33,1,Gold,10/11/2016
38,1,Gold,2/2/2020
4,1,Gold,3/29/2017
573,1,Gold,6/17/2018
574,1,Gold,2/8/2020
581,1,Gold,8/27/2021
638,1,Gold,6/8/2020
846,1,Gold,10/12/2019
857,1,Gold,10/7/2017
858,1,Gold,7/4/2017
864,1,Gold,4/23/2021
